Name,Year,Count
Aaliyah,1976,18
Aaliyah,1977,40
Aaliyah,1978,46
Aaliyah,1979,38
Aaliyah,1980,39
Aaliyah,1981,28
Aaliyah,1982,28
Aaliyah,1983,20
Aaliyah,1984,21
Aaliyah,1985,10
Aaliyah,1986,18
Aaliyah,1987,14
Aaliyah,1988,17
Aaliyah,1989,14
Aaliyah,1990,12
Aaliyah,1991,15
Aaliyah,1992,25
Aaliyah,1993,22
Aaliyah,1994,1457
Aaliyah,1995,1254
Aaliyah,1996,831
Aaliyah,1997,1738
Aaliyah,1998,1404
Aaliyah,1999,1088
Aaliyah,2000,1494
Aaliyah,2001,3360
Aaliyah,2002,4786
Aaliyah,2003,3677
Aaliyah,2004,3496
Aaliyah,2005,3465
Aaliyah,2006,3739
Aaliyah,2007,3951
Aaliyah,2008,4038
Aaliyah,2009,4365
Aaliyah,2010,4663
Aaliyah,2011,5104
Aaliyah,2012,5502
Aaliyah,2013,5225
Aaliyah,2014,4855
Aaron,1880,102
Aaron,1881,94
Aaron,1882,85
Aaron,1883,105
Aaron,1884,97
Aaron,1885,88
Aaron,1886,86
Aaron,1887,78
Aaron,1888,90
Aaron,1889,85
Aaron,1890,96
Aaron,1891,69
Aaron,1892,95
Aaron,1893,81
Aaron,1894,79
Aaron,1895,94
Aaron,1896,69
Aaron,1897,87
Aaron,1898,89
Aaron,1899,71
Aaron,1900,103
Aaron,1901,80
Aaron,1902,78
Aaron,1903,93
Aaron,1904,117
Aaron,1905,96
Aaron,1906,96
Aaron,1907,130
Aaron,1908,114
Aaron,1909,142
Aaron,1910,145
Aaron,1911,187
Aaron,1912,303
Aaron,1913,417
Aaron,1914,490
Aaron,1915,553
Aaron,1916,588
Aaron,1917,601
Aaron,1918,663
Aaron,1919,645
Aaron,1920,668
Aaron,1921,697
Aaron,1922,705
Aaron,1923,626
Aaron,1924,682
Aaron,1925,657
Aaron,1926,600
Aaron,1927,552
Aaron,1928,560
Aaron,1929,475
Aaron,1930,506
Aaron,1931,466
Aaron,1932,514
Aaron,1933,463
Aaron,1934,477
Aaron,1935,465
Aaron,1936,443
Aaron,1937,470
Aaron,1938,482
Aaron,1939,471
Aaron,1940,513
Aaron,1941,562
Aaron,1942,574
Aaron,1943,558
Aaron,1944,514
Aaron,1945,485
Aaron,1946,577
Aaron,1947,689
Aaron,1948,710
Aaron,1949,802
Aaron,1950,804
Aaron,1951,879
Aaron,1952,944
Aaron,1953,905
Aaron,1954,981
Aaron,1955,1108
Aaron,1956,1291
Aaron,1957,1351
Aaron,1958,1405
Aaron,1959,1556
Aaron,1960,1794
Aaron,1961,1892
Aaron,1962,2030
Aaron,1963,2088
Aaron,1964,2413
Aaron,1965,2445
Aaron,1966,2618
Aaron,1967,2929
Aaron,1968,3450
Aaron,1969,4647
Aaron,1970,6655
Aaron,1971,8477
Aaron,1972,7924
Aaron,1973,9319
Aaron,1974,10601
Aaron,1975,10671
Aaron,1976,11502
Aaron,1977,11780
Aaron,1978,12471
Aaron,1979,13218
Aaron,1980,13342
Aaron,1981,14838
Aaron,1982,14563
Aaron,1983,14627
Aaron,1984,13532
Aaron,1985,13271
Aaron,1986,12824
Aaron,1987,12820
Aaron,1988,14526
Aaron,1989,15414
Aaron,1990,14633
Aaron,1991,14342
Aaron,1992,14593
Aaron,1993,13936
Aaron,1994,14484
Aaron,1995,13368
Aaron,1996,12047
Aaron,1997,11231
Aaron,1998,10603
Aaron,1999,9901
Aaron,2000,9586
Aaron,2001,9568
Aaron,2002,9039
Aaron,2003,8897
Aaron,2004,8443
Aaron,2005,7824
Aaron,2006,8314
Aaron,2007,8955
Aaron,2008,8559
Aaron,2009,7995
Aaron,2010,7473
Aaron,2011,7627
Aaron,2012,7530
Aaron,2013,7289
Aaron,2014,7357
Abby,1880,6
Abby,1881,7
Abby,1882,11
Abby,1884,6
Abby,1885,5
Abby,1886,7
Abby,1887,5
Abby,1888,9
Abby,1889,8
Abby,1890,6
Abby,1891,12
Abby,1892,6
Abby,1893,10
Abby,1894,5
Abby,1896,6
Abby,1897,6
Abby,1898,6
Abby,1900,7
Abby,1901,6
Abby,1902,7
Abby,1903,10
Abby,1906,6
Abby,1907,5
Abby,1909,8
Abby,1910,6
Abby,1911,13
Abby,1912,8
Abby,1913,11
Abby,1914,11
Abby,1915,11
Abby,1916,16
Abby,1917,11
Abby,1918,6
Abby,1919,17
Abby,1920,15
Abby,1921,11
Abby,1922,13
Abby,1923,15
Abby,1924,20
Abby,1925,26
Abby,1926,29
Abby,1927,18
Abby,1928,29
Abby,1929,11
Abby,1930,16
Abby,1931,19
Abby,1932,21
Abby,1933,15
Abby,1934,15
Abby,1935,26
Abby,1936,18
Abby,1937,25
Abby,1938,21
Abby,1939,24
Abby,1940,37
Abby,1941,32
Abby,1942,51
Abby,1943,52
Abby,1944,32
Abby,1945,34
Abby,1946,47
Abby,1947,54
Abby,1948,65
Abby,1949,58
Abby,1950,75
Abby,1951,82
Abby,1952,94
Abby,1953,90
Abby,1954,108
Abby,1955,108
Abby,1956,117
Abby,1957,168
Abby,1958,154
Abby,1959,177
Abby,1960,247
Abby,1961,236
Abby,1962,286
Abby,1963,236
Abby,1964,217
Abby,1965,222
Abby,1966,187
Abby,1967,161
Abby,1968,134
Abby,1969,148
Abby,1970,171
Abby,1971,204
Abby,1972,168
Abby,1973,191
Abby,1974,220
Abby,1975,241
Abby,1976,256
Abby,1977,284
Abby,1978,623
Abby,1979,792
Abby,1980,935
Abby,1981,1217
Abby,1982,1305
Abby,1983,1315
Abby,1984,1263
Abby,1985,1215
Abby,1986,1124
Abby,1987,1059
Abby,1988,1229
